# Trial, Score, RMS, Safe_landing, time, trust, agree, self-conf, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a
1.000000000000000000e+00,2.930000000000000000e+02,3.978395045346179160e+00,0.000000000000000000e+00,1.105400000000000027e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,1.326207706020012367e+01,1.628545551175075090e+01,-2.447724640065534629e+01,3.407407431980730905e+01,2.736144589517114412e+01,1.998222157295348467e+00,5.382018383250712645e+01
2.000000000000000000e+00,4.860000000000000000e+02,4.834542410364710108e+00,0.000000000000000000e+00,5.470799999999999841e+01,-5.000000000000000000e+00,1.500000000000000000e+01,3.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,3.161493719238357514e+01,5.621609445453059628e+00,-6.983041952220642834e+00,2.123186384452935016e+01,3.482766220187954787e+00,8.083300045816982049e+01,8.899352084106934058e+01
3.000000000000000000e+00,4.440000000000000000e+02,3.355529758634181015e+00,0.000000000000000000e+00,1.625199999999999889e+01,4.000000000000000000e+01,4.000000000000000000e+01,3.000000000000000000e+01,2.000000000000000000e+00,9.112265191481114357e+00,1.378429844629764034e+00,1.214422192135147860e+01,-3.126756485822414788e+01,4.341705362048728745e+01,7.959088827857374326e+01,1.391807671677981517e+01,4.050665346652017718e+01
4.000000000000000000e+00,7.950000000000000000e+02,2.715078062214312915e+00,0.000000000000000000e+00,1.205300000000000082e+01,5.000000000000000000e+01,4.500000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+00,8.524841422899548604e+00,4.252190521622654984e+00,2.693258085927183743e+00,-5.712424177981751505e+00,5.302382906678531072e+01,7.890314451508295690e+01,9.480128240112840388e+01,9.118353059606918976e+01
5.000000000000000000e+00,8.740000000000000000e+02,3.840562658321716949e+00,2.000000000000000000e+00,3.115399999999999991e+01,5.000000000000000000e+01,6.500000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+00,-2.380775502640283037e+00,4.086235861079590137e+00,6.446029679904722087e+00,3.058083309085160018e+00,8.061746126410336899e+01,1.000000000000000000e+02,7.363309888895597055e+01,9.549501880449068381e+01
6.000000000000000000e+00,9.690000000000000000e+02,2.623692813752000141e+00,1.000000000000000000e+00,1.240000000000000036e+01,8.500000000000000000e+01,8.000000000000000000e+01,6.500000000000000000e+01,2.000000000000000000e+00,2.948899812527649544e+00,4.193119723629465057e+00,1.665622178038045798e+00,-3.442916231447271880e+00,9.575923193337848716e+01,1.000000000000000000e+02,9.682374339166489108e+01,9.489266742625028428e+01
7.000000000000000000e+00,9.310000000000000000e+02,4.340909144775245920e+00,1.000000000000000000e+00,3.375099999999999767e+01,6.000000000000000000e+01,9.000000000000000000e+01,6.500000000000000000e+01,1.000000000000000000e+00,-2.942204933384967802e+00,4.059693375847864161e+00,2.252211122072404148e+00,-4.864189730171248338e-01,7.737641335349783844e+01,1.000000000000000000e+02,9.578676773259586241e+01,9.931713297240085581e+01
8.000000000000000000e+00,7.310000000000000000e+02,4.281857263503137112e+00,0.000000000000000000e+00,2.540099999999999980e+01,6.500000000000000000e+01,6.500000000000000000e+01,8.000000000000000000e+01,1.000000000000000000e+00,7.083684350006066666e+00,4.192989948429687530e+00,4.706539191183702009e+00,3.860227602896870280e+00,2.952214104745294421e+01,8.177067346258229463e+01,8.695210242074612950e+01,9.423065866021967452e+01
9.000000000000000000e+00,4.290000000000000000e+02,3.342948349832374433e+00,0.000000000000000000e+00,2.305399999999999849e+01,5.000000000000000000e+01,5.000000000000000000e+01,8.000000000000000000e+01,2.000000000000000000e+00,-3.000000000000000000e+01,4.952067150633791215e+00,5.954837942214643576e+00,4.773645396949846287e+01,4.360577475251438528e+01,3.266457837532138342e+01,7.811842573309877480e+01,1.718226278434101673e+01
1.000000000000000000e+01,6.980000000000000000e+02,2.775512392936448691e+00,0.000000000000000000e+00,1.184999999999999964e+01,5.000000000000000000e+01,5.000000000000000000e+01,8.000000000000000000e+01,2.000000000000000000e+00,-8.285182972203390506e+00,4.685823635178522295e+00,1.721883538665321067e+00,2.555641030720180495e+01,5.211731410595326963e+01,7.892091737645652927e+01,9.673608224829696667e+01,5.161007869808104687e+01
1.100000000000000000e+01,9.450000000000000000e+02,2.923873527706412734e+00,1.000000000000000000e+00,1.210200000000000031e+01,4.000000000000000000e+01,4.000000000000000000e+01,8.500000000000000000e+01,2.000000000000000000e+00,-7.607143693757585368e-01,4.120604705384891986e+00,4.520345700150707025e+00,3.916988378842970686e+00,9.590145480053529070e+01,1.000000000000000000e+02,8.797248496323393852e+01,9.413990960388677820e+01
1.200000000000000000e+01,9.790000000000000000e+02,2.620301885267142694e+00,1.000000000000000000e+00,1.285200000000000031e+01,7.500000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,2.000000000000000000e+00,1.652822569326023228e+00,4.036430503873681630e+00,1.950002396492991341e+00,8.071600841041907948e-02,9.553888185456445115e+01,1.000000000000000000e+02,9.635610925074145428e+01,9.988757033092186077e+01
1.300000000000000000e+01,4.140000000000000000e+02,4.464535339489492216e+00,0.000000000000000000e+00,2.070299999999999940e+01,8.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,1.374300325985896976e+01,1.199441858365365210e+00,-5.076307230012162108e+01,2.678196990765761853e+01,2.692433519285468435e+01,9.746741863861002741e+01,1.440050290529358890e+01
1.400000000000000000e+01,9.040000000000000000e+02,4.401315100092310750e+00,2.000000000000000000e+00,2.315299999999999869e+01,8.500000000000000000e+01,8.500000000000000000e+01,9.000000000000000000e+01,1.000000000000000000e+00,-3.215721533933876941e+00,4.426055573627486694e+00,2.590111942365056930e+00,1.300802906805866677e+01,8.874719030384251539e+01,1.000000000000000000e+02,9.504966375502293374e+01,7.764396294835667334e+01
1.500000000000000000e+01,5.680000000000000000e+02,4.072275041464649803e+00,0.000000000000000000e+00,1.790200000000000102e+01,7.000000000000000000e+01,7.500000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00,-9.417903774413879603e+00,4.126802927635807805e+00,6.381724751074613344e+00,2.985870291655797715e+01,3.266587437803025296e+01,7.722918704542387047e+01,7.425257097288044861e+01,4.313394175928527119e+01
1.600000000000000000e+01,9.160000000000000000e+02,3.945416084446691674e+00,2.000000000000000000e+00,2.255099999999999838e+01,6.500000000000000000e+01,4.500000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00,2.468585977141984245e+00,4.455346619034415312e+00,1.695854918222352126e+00,-1.172089144198138122e+01,8.924959892558818808e+01,1.000000000000000000e+02,9.677692445704113311e+01,8.018606755493992466e+01
1.700000000000000000e+01,6.240000000000000000e+02,3.962482854623378348e+00,0.000000000000000000e+00,2.615200000000000102e+01,5.500000000000000000e+01,5.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+00,9.510181190435417875e+00,4.574632756680415469e+00,7.903752145022810982e-01,-3.109148595656116143e+01,3.431275718064932789e+01,7.662936985335693407e+01,9.792616127675495363e+01,4.083039639819360644e+01
1.800000000000000000e+01,8.610000000000000000e+02,3.320105025050581471e+00,1.000000000000000000e+00,5.260900000000000176e+01,6.000000000000000000e+01,7.000000000000000000e+01,8.000000000000000000e+01,1.000000000000000000e+00,4.243391745004707616e+00,4.087305350594039766e+00,1.067358212077242463e+00,-3.929661852075202466e-01,4.729156349450780539e+01,1.000000000000000000e+02,9.762542826058412970e+01,9.944932040261828377e+01
1.900000000000000000e+01,7.620000000000000000e+02,4.230474981426904257e+00,0.000000000000000000e+00,1.875199999999999889e+01,7.000000000000000000e+01,7.000000000000000000e+01,8.000000000000000000e+01,1.000000000000000000e+00,6.787319140532062534e+00,4.069613638022754998e+00,2.538464783360887989e+00,2.114205784984674708e+00,3.029287527859643347e+01,8.247435332645024175e+01,9.516976698692356251e+01,9.693907547545548198e+01
2.000000000000000000e+01,8.260000000000000000e+02,4.387361685837790404e+00,1.000000000000000000e+00,5.960600000000000165e+01,5.500000000000000000e+01,7.000000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+00,-4.263457237361425456e+00,4.092950115856446303e+00,1.534086203470172327e+00,1.579321197268183319e+00,3.574692240285799727e+01,1.000000000000000000e+02,9.701989318569876275e+01,9.773623946087444381e+01
