# Trial, Score, RMS, Safe_landing, time, trust, agree, self-conf, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a
1.000000000000000000e+00,3.380000000000000000e+02,4.427397839704325655e+00,0.000000000000000000e+00,4.630700000000000216e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,1.178782573631899666e+01,1.119632518791394560e+01,2.210375524912848277e+01,2.733903240443511606e+01,2.861899676513367297e+01,2.061709275489230819e+01,5.875660651358569453e+01
2.000000000000000000e+00,7.860000000000000000e+02,3.894856736882620574e+00,1.000000000000000000e+00,7.355599999999999739e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+00,1.812923531663688692e+00,4.095112506506762173e+00,8.587424145343224291e-01,9.052468632633637879e-01,1.783009896288258034e+01,1.000000000000000000e+02,9.785559089924720411e+01,9.871891223760235334e+01
3.000000000000000000e+00,9.510000000000000000e+02,2.957400458549059419e+00,1.000000000000000000e+00,1.800300000000000011e+01,4.000000000000000000e+01,6.000000000000000000e+01,2.500000000000000000e+01,2.000000000000000000e+00,3.462134153949065762e+00,4.268077891959848102e+00,1.855688807572620780e+00,-5.662825493789100939e+00,9.259775842109016253e+01,1.000000000000000000e+02,9.651811062807209396e+01,9.126740256751362779e+01
4.000000000000000000e+00,9.430000000000000000e+02,3.219581525552246859e+00,1.000000000000000000e+00,1.635200000000000031e+01,4.500000000000000000e+01,6.500000000000000000e+01,3.000000000000000000e+01,2.000000000000000000e+00,-5.645487177720603711e+00,4.344678772188650839e+00,1.619576438443570909e+00,8.325316196440565975e+00,9.363138857283597360e+01,1.000000000000000000e+02,9.689378904934447689e+01,8.659636547317195721e+01
5.000000000000000000e+00,9.370000000000000000e+02,3.810745329507192469e+00,1.000000000000000000e+00,2.700400000000000134e+01,5.000000000000000000e+01,6.500000000000000000e+01,4.500000000000000000e+01,1.000000000000000000e+00,-1.084689724454648285e-01,4.199373357348537894e+00,1.377988791740975882e+00,4.927084275521784740e+00,8.517948051692241052e+01,1.000000000000000000e+02,9.723746032862636923e+01,9.249698409208922101e+01
6.000000000000000000e+00,5.280000000000000000e+02,3.715971342105149233e+00,0.000000000000000000e+00,3.005199999999999960e+01,5.500000000000000000e+01,7.500000000000000000e+01,3.500000000000000000e+01,1.000000000000000000e+00,-7.471871610717222723e+00,4.480281040680296201e+00,1.141057637362193766e+01,-1.499064722210749068e+01,3.801042986842276150e+01,8.070651322155609364e+01,1.891890428175256744e+01,7.363256332104121782e+01
7.000000000000000000e+00,9.480000000000000000e+02,2.828750335547006056e+00,1.000000000000000000e+00,1.530100000000000016e+01,5.500000000000000000e+01,7.500000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+00,-4.736150343692848708e+00,4.340278301775686742e+00,8.294986215935288287e-01,8.053602699609227145e+00,9.424320986305910708e+01,1.000000000000000000e+02,9.788606009276612951e+01,8.708832193687722167e+01
8.000000000000000000e+00,9.640000000000000000e+02,3.628486578085349468e+00,1.000000000000000000e+00,1.875100000000000122e+01,5.500000000000000000e+01,7.500000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+00,4.103658574899213818e+00,4.017580634323802968e+00,3.106117852351127695e+00,-2.134779609213928453e-01,9.209897968776552091e+01,1.000000000000000000e+02,9.368459022263060376e+01,9.970187989446202437e+01
9.000000000000000000e+00,9.340000000000000000e+02,4.168469378083268673e+00,1.000000000000000000e+00,3.415200000000000102e+01,5.500000000000000000e+01,7.500000000000000000e+01,4.500000000000000000e+01,1.000000000000000000e+00,1.333888337475865882e+00,4.051370104667800121e+00,1.478066393751225061e+00,-2.857307804165010734e-01,7.684985927921486848e+01,1.000000000000000000e+02,9.709982024111070587e+01,9.960042165363842059e+01
1.000000000000000000e+01,9.660000000000000000e+02,3.954978859668769164e+00,1.000000000000000000e+00,2.025300000000000011e+01,5.500000000000000000e+01,7.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.297567898077737425e+00,4.055500325222368474e+00,1.802116664008536651e+00,7.849065105025635480e-01,9.103727544295696816e+01,1.000000000000000000e+02,9.660701623015533812e+01,9.889176694735448336e+01
1.100000000000000000e+01,9.460000000000000000e+02,4.050155019413244517e+00,1.000000000000000000e+00,2.910399999999999920e+01,5.500000000000000000e+01,7.500000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00,4.782541516117980507e+00,4.069445675208392288e+00,1.301021252853271637e+00,-1.277504685948249064e+00,8.296591444617133959e+01,1.000000000000000000e+02,9.733897833163514690e+01,9.817925941355296970e+01
1.200000000000000000e+01,9.370000000000000000e+02,3.804803808298410139e+00,1.000000000000000000e+00,1.860200000000000031e+01,5.500000000000000000e+01,7.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+00,-5.694915915509959348e-01,4.234703195636750905e+00,4.073836657755264490e+00,-5.042986822344569298e+00,9.219989353094825901e+01,1.000000000000000000e+02,9.014181138599973053e+01,9.230510850154155378e+01
1.300000000000000000e+01,9.650000000000000000e+02,3.831088252918113835e+00,1.000000000000000000e+00,1.915299999999999869e+01,5.500000000000000000e+01,7.500000000000000000e+01,6.500000000000000000e+01,1.000000000000000000e+00,4.052225104084456575e+00,4.122602587888813730e+00,1.938999783639037799e+00,1.667727529976408052e+00,9.182279577606753662e+01,1.000000000000000000e+02,9.637537576828209751e+01,9.760554392376926103e+01
1.400000000000000000e+01,9.750000000000000000e+02,3.622938644319664281e+00,1.000000000000000000e+00,1.635300000000000153e+01,5.500000000000000000e+01,7.500000000000000000e+01,6.500000000000000000e+01,1.000000000000000000e+00,5.107412831204790393e+00,4.040187976500433820e+00,1.754320535532452041e+00,2.475459245858615542e-01,9.363078970510494514e+01,1.000000000000000000e+02,9.668448420931726162e+01,9.965407641741258260e+01
