# Trial, Score, RMS, Safe_landing, time, trust, agree, self-conf, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a
1.00E+00,3.14E+02,4.16E+00,0.00E+00,8.75E+00,-5.00E+00,-5.00E+00,5.00E+00,1.00E+00,-3.00E+01,2.80E+01,1.03E+01,2.32E+01,3.14E+01,9.12E+00,2.88E+01,5.64E+01
2.00E+00,2.30E+02,4.78E+00,0.00E+00,1.75E+01,-5.00E+00,-5.00E+00,5.00E+00,1.00E+00,-3.00E+01,2.04E+01,2.66E+01,-2.62E+01,2.20E+01,1.96E+01,1.18E-02,5.03E+01
3.00E+00,4.32E+02,3.05E+00,0.00E+00,1.34E+01,8.00E+01,9.00E+01,3.50E+01,2.00E+00,8.92E+00,2.29E+00,9.80E+00,-5.55E+01,4.80E+01,7.96E+01,3.43E+01,1.08E+01
4.00E+00,4.61E+02,3.00E+00,0.00E+00,1.30E+01,8.00E+01,9.00E+01,3.00E+01,2.00E+00,8.90E+00,2.82E+00,9.09E+00,-5.13E+01,4.87E+01,7.93E+01,4.26E+01,1.39E+01
5.00E+00,6.43E+02,2.84E+00,0.00E+00,1.19E+01,9.00E+01,9.00E+01,3.00E+01,2.00E+00,9.48E+00,7.54E-01,5.16E+00,-3.00E+01,5.11E+01,7.89E+01,8.42E+01,4.29E+01
6.00E+00,8.92E+02,2.49E+00,2.00E+00,9.85E+00,9.00E+01,1.00E+02,3.00E+01,2.00E+00,4.53E+00,4.13E+00,6.63E+00,-7.36E+00,9.69E+01,1.00E+02,7.18E+01,8.83E+01
7.00E+00,3.26E+02,3.74E+00,0.00E+00,1.22E+01,9.00E+01,8.50E+01,2.50E+01,1.00E+00,3.00E+01,1.40E+00,8.35E+00,-6.16E+01,3.76E+01,3.35E+01,5.19E+01,7.45E+00
8.00E+00,5.08E+02,3.68E+00,0.00E+00,1.24E+01,8.50E+01,8.50E+01,1.50E+01,1.00E+00,-1.66E+01,3.75E-01,7.13E+00,3.44E+01,3.86E+01,6.32E+01,6.65E+01,3.50E+01
9.00E+00,7.50E+02,2.95E+00,2.00E+00,1.11E+01,8.50E+01,9.00E+01,1.50E+01,1.00E+00,2.18E+00,4.95E+00,7.18E+00,-3.29E+01,9.64E+01,1.00E+02,6.59E+01,3.77E+01
1.00E+01,9.21E+02,3.11E+00,1.00E+00,1.13E+01,8.50E+01,9.00E+01,3.00E+01,1.00E+00,4.99E-02,4.24E+00,4.80E+00,8.76E+00,9.63E+01,1.00E+02,8.64E+01,8.58E+01
1.10E+01,8.53E+02,3.11E+00,2.00E+00,1.12E+01,9.00E+01,9.00E+01,3.00E+01,1.00E+00,5.10E+00,4.42E+00,5.97E+00,-1.83E+01,9.63E+01,1.00E+02,7.79E+01,6.67E+01
1.20E+01,8.96E+02,3.05E+00,2.00E+00,1.12E+01,9.00E+01,8.50E+01,3.00E+01,1.00E+00,2.71E+00,4.42E+00,5.62E+00,1.12E+01,9.63E+01,1.00E+02,8.08E+01,8.11E+01
1.30E+01,9.54E+02,3.17E+00,1.00E+00,1.13E+01,9.00E+01,8.50E+01,3.50E+01,1.00E+00,-4.56E+00,4.06E+00,3.90E+00,3.83E+00,9.63E+01,1.00E+02,9.09E+01,9.43E+01
1.40E+01,9.57E+02,3.13E+00,1.00E+00,1.13E+01,9.00E+01,8.50E+01,3.50E+01,1.00E+00,-4.26E+00,4.06E+00,3.87E+00,3.09E+00,9.63E+01,1.00E+02,9.10E+01,9.54E+01
1.50E+01,9.63E+02,3.13E+00,1.00E+00,1.13E+01,9.00E+01,8.50E+01,4.50E+01,1.00E+00,4.25E+00,4.06E+00,4.13E+00,7.28E-01,9.63E+01,1.00E+02,8.99E+01,9.90E+01
1.60E+01,7.47E+02,3.07E+00,0.00E+00,1.21E+01,-5.00E+00,-5.00E+00,3.50E+01,1.00E+00,6.72E+00,4.10E+00,6.63E+00,2.38E+00,4.77E+01,8.26E+01,7.18E+01,9.65E+01
1.70E+01,2.41E+02,4.61E+00,0.00E+00,1.63E+01,-5.00E+00,-5.00E+00,5.00E+00,1.00E+00,-3.00E+01,1.65E+01,2.98E+01,-2.74E+01,2.45E+01,2.42E+01,2.33E-03,4.79E+01
1.80E+01,2.91E+02,4.64E+00,0.00E+00,1.57E+01,-5.00E+00,-5.00E+00,0.00E+00,1.00E+00,-3.00E+01,2.51E+01,1.24E+01,1.83E+01,2.41E+01,1.33E+01,1.23E+01,6.67E+01
1.90E+01,3.77E+02,4.34E+00,0.00E+00,3.15E+01,-5.00E+00,-5.00E+00,0.00E+00,1.00E+00,-3.00E+01,1.34E+01,1.60E+01,4.91E+00,2.87E+01,2.72E+01,2.26E+00,9.25E+01
2.00E+01,9.47E+02,4.19E+00,1.00E+00,1.70E+01,-5.00E+00,-5.00E+00,5.00E+00,1.00E+00,2.25E+00,4.10E+00,4.52E+00,1.79E+00,9.33E+01,1.00E+02,8.80E+01,9.74E+01
