# Trial, Score, RMS, Safe_landing, time, trust, agree, self-conf, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a
1.00E+00,1.46E+02,4.46E+00,0.00E+00,8.00E+00,-5.00E+00,-5.00E+00,5.00E+00,1.00E+00,-3.00E+01,2.80E+01,3.07E+01,-4.32E+01,2.69E+01,9.12E+00,1.48E-03,2.22E+01
2.00E+00,1.05E+02,4.88E+00,0.00E+00,1.37E+01,-5.00E+00,-5.00E+00,5.00E+00,1.00E+00,-3.00E+01,2.46E+01,3.85E+01,-6.11E+01,2.05E+01,1.40E+01,3.04E-05,7.65E+00
3.00E+00,3.30E+02,3.35E+00,0.00E+00,1.44E+01,7.50E+01,9.00E+01,1.00E+01,2.00E+00,8.71E+00,9.55E-01,1.75E+01,-6.29E+01,4.35E+01,8.06E+01,1.11E+00,6.83E+00
4.00E+00,3.27E+02,3.30E+00,0.00E+00,1.11E+01,5.00E+01,7.00E+01,5.00E+00,2.00E+00,3.00E+01,2.56E+00,1.48E+01,-2.68E+01,4.42E+01,3.33E+01,4.16E+00,4.91E+01
5.00E+00,9.08E+02,3.59E+00,2.00E+00,1.52E+01,7.00E+01,7.00E+01,1.00E+01,2.00E+00,3.25E+00,4.13E+00,6.11E+00,5.01E+00,9.43E+01,1.00E+02,7.67E+01,9.24E+01
6.00E+00,9.27E+02,2.26E+00,2.00E+00,6.90E+00,6.50E+01,6.50E+01,5.00E+00,2.00E+00,5.80E+00,4.32E+00,5.02E+00,7.74E+00,9.80E+01,1.00E+02,8.51E+01,8.76E+01
7.00E+00,3.13E+02,4.83E+00,0.00E+00,2.99E+01,0.00E+00,0.00E+00,1.00E+01,1.00E+00,3.00E+01,1.84E+01,2.10E+01,1.10E+01,2.13E+01,2.21E+01,1.92E-01,8.16E+01
8.00E+00,3.25E+02,3.72E+00,0.00E+00,1.37E+01,0.00E+00,0.00E+00,5.00E+00,1.00E+00,8.51E+00,1.85E+00,1.91E+01,-5.55E+01,3.79E+01,8.07E+01,4.98E-01,1.08E+01
9.00E+00,3.99E+02,3.80E+00,0.00E+00,1.45E+01,0.00E+00,0.00E+00,5.00E+00,2.00E+00,-3.00E+01,4.43E+00,2.94E+01,-6.38E+00,3.67E+01,3.28E+01,2.97E-03,9.00E+01
1.00E+01,6.41E+02,3.00E+00,0.00E+00,1.33E+01,5.50E+01,7.00E+01,2.00E+01,2.00E+00,1.67E+01,3.75E-01,4.07E+00,-2.41E+01,4.88E+01,6.29E+01,9.02E+01,5.46E+01
1.10E+01,3.35E+02,3.29E+00,0.00E+00,1.28E+01,2.00E+01,4.00E+01,1.00E+01,2.00E+00,8.67E+00,8.66E-01,1.66E+01,-6.20E+01,4.43E+01,8.07E+01,1.68E+00,7.22E+00
1.20E+01,4.90E+02,3.21E+00,0.00E+00,1.32E+01,6.00E+01,5.00E+01,1.50E+01,2.00E+00,-2.37E+01,3.75E-01,4.27E+00,5.20E+01,4.57E+01,4.76E+01,8.93E+01,1.34E+01
1.30E+01,6.51E+02,2.87E+00,0.00E+00,1.18E+01,3.00E+01,2.00E+01,1.00E+01,2.00E+00,1.57E+01,3.75E-01,3.07E+00,-2.60E+01,5.07E+01,6.52E+01,9.38E+01,5.07E+01
1.40E+01,6.31E+02,3.20E+00,0.00E+00,1.59E+01,5.00E+01,2.50E+01,3.00E+01,2.00E+00,9.17E+00,1.52E+00,7.93E+00,-1.67E+01,4.57E+01,7.94E+01,5.70E+01,7.00E+01
1.50E+01,5.42E+02,3.21E+00,0.00E+00,1.53E+01,3.00E+01,1.00E+01,2.00E+01,2.00E+00,9.40E+00,7.61E-01,1.00E+01,-2.14E+01,4.56E+01,7.91E+01,3.19E+01,6.02E+01
1.60E+01,4.30E+02,4.97E+00,0.00E+00,1.75E+01,-5.00E+00,-5.00E+00,1.50E+01,1.00E+00,3.00E+01,2.14E+01,8.28E+00,1.10E+01,1.92E+01,1.85E+01,5.28E+01,8.15E+01
1.70E+01,1.05E+02,5.22E+00,0.00E+00,2.67E+01,-5.00E+00,-5.00E+00,5.00E+00,1.00E+00,-3.00E+01,2.75E+01,3.82E+01,-4.81E+01,1.54E+01,9.84E+00,3.56E-05,1.69E+01
1.80E+01,3.89E+02,5.17E+00,0.00E+00,4.04E+01,-5.00E+00,-5.00E+00,1.50E+01,1.00E+00,3.00E+01,1.82E+01,1.10E+01,3.23E+00,1.61E+01,2.22E+01,2.19E+01,9.52E+01
1.90E+01,1.39E+02,5.14E+00,0.00E+00,4.23E+01,-5.00E+00,-5.00E+00,2.00E+01,1.00E+00,-3.00E+01,1.06E+01,3.87E+01,-5.78E+01,1.67E+01,2.95E+01,2.79E-05,9.41E+00
2.00E+01,8.04E+02,5.20E+00,1.00E+00,6.48E+01,-5.00E+00,-5.00E+00,1.00E+02,1.00E+00,4.05E+00,4.09E+00,3.18E+00,-2.80E-02,2.81E+01,1.00E+02,9.35E+01,1.00E+02
