# Trial, Score, RMS, Safe_landing, time, trust, agree, self-conf, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a
1.000000000000000000e+00,3.490000000000000000e+02,4.779619421296847470e+00,0.000000000000000000e+00,1.735200000000000031e+01,6.500000000000000000e+01,7.500000000000000000e+01,8.000000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,6.927414835530061765e+00,2.981718320140007705e+01,-8.755324377586859441e+00,2.205570868054729061e+01,3.181538421207066847e+01,2.349753352948180662e-03,8.581105230775392556e+01
2.000000000000000000e+00,3.160000000000000000e+02,3.754489616096470250e+00,0.000000000000000000e+00,1.060299999999999976e+01,6.500000000000000000e+01,8.500000000000000000e+01,8.000000000000000000e+01,1.000000000000000000e+00,-1.488488071451100936e+01,3.750000000000000000e-01,1.360990002539483790e+01,5.036009591298672916e+01,3.743265575855294713e+01,6.702628571705412241e+01,7.209464212698302177e+00,1.474685541323464122e+01
3.000000000000000000e+00,3.530000000000000000e+02,3.512325057625283797e+00,0.000000000000000000e+00,1.790200000000000102e+01,8.000000000000000000e+01,8.000000000000000000e+01,8.000000000000000000e+01,2.000000000000000000e+00,-3.000000000000000000e+01,8.630051453111924786e+00,1.112545634037330800e+01,2.734446520626611132e+01,4.106512413562074215e+01,3.086933997047601963e+01,2.120306806215929285e+01,4.801422663239454636e+01
4.000000000000000000e+00,5.230000000000000000e+02,3.296776128899372438e+00,0.000000000000000000e+00,1.544999999999999929e+01,7.000000000000000000e+01,8.000000000000000000e+01,8.000000000000000000e+01,2.000000000000000000e+00,9.113280714314939246e+00,4.398418770470332362e+00,9.563766648595157349e+00,-2.615337139621992080e+01,4.429835806650941521e+01,7.759059058510513296e+01,3.700777397603122409e+01,5.039961169374250005e+01
5.000000000000000000e+00,3.370000000000000000e+02,4.023996843147717328e+00,0.000000000000000000e+00,2.735399999999999920e+01,6.500000000000000000e+01,8.000000000000000000e+01,8.000000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+01,1.079570179747614489e+01,1.047466356162591161e+01,-2.903430555320066730e+01,3.339004735278423652e+01,2.939287948642476067e+01,2.714394229299448114e+01,4.470867357906113426e+01
6.000000000000000000e+00,8.660000000000000000e+02,3.597031929288354135e+00,2.000000000000000000e+00,2.465299999999999869e+01,6.500000000000000000e+01,8.000000000000000000e+01,8.000000000000000000e+01,2.000000000000000000e+00,-3.673090790798212879e+00,4.150770706137343780e+00,7.096100611667795377e+00,-5.180786734861352549e+00,8.743137704391328668e+01,1.000000000000000000e+02,6.686199026249501287e+01,9.207609127003135541e+01
7.000000000000000000e+00,6.280000000000000000e+02,4.609960158376297024e+00,0.000000000000000000e+00,2.900100000000000122e+01,6.500000000000000000e+01,8.000000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+00,-8.948895902568292371e+00,3.609951108994984281e+00,8.190792477895417534e+00,3.830574309132714461e+00,2.460059762435554020e+01,7.863054955176463068e+01,5.385741365652148005e+01,9.427800126656721602e+01
8.000000000000000000e+00,3.270000000000000000e+02,4.653858200103591969e+00,0.000000000000000000e+00,3.280299999999999727e+01,6.000000000000000000e+01,7.500000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,2.368983972179978537e+01,7.889556541152204616e+00,3.506466593681386001e+01,2.394212699844611691e+01,1.534729756443782378e+01,5.757185130678264073e+01,3.387636448975863601e+01
9.000000000000000000e+00,7.780000000000000000e+02,3.859769734246950357e+00,2.000000000000000000e+00,5.055199999999999960e+01,7.000000000000000000e+01,7.500000000000000000e+01,8.000000000000000000e+01,2.000000000000000000e+00,1.252337869441504381e+00,4.218911080045330664e+00,6.231102922717548509e+00,-9.309760128861519490e+00,5.083098743436210043e+01,1.000000000000000000e+02,7.566589265099253225e+01,8.478656659116494154e+01
1.000000000000000000e+01,4.910000000000000000e+02,3.460727357417065608e+00,0.000000000000000000e+00,5.120900000000000318e+01,6.000000000000000000e+01,7.500000000000000000e+01,7.500000000000000000e+01,2.000000000000000000e+00,9.088518919167519527e+00,1.804048000736948154e+00,9.282913720374690314e+00,-3.465711562976735394e+01,4.183908963874402076e+01,7.948037294799070196e+01,4.033666405214126627e+01,3.455425551650144911e+01
1.100000000000000000e+01,7.720000000000000000e+02,4.088647440478879957e+00,1.000000000000000000e+00,7.390699999999999648e+01,7.000000000000000000e+01,8.500000000000000000e+01,8.500000000000000000e+01,2.000000000000000000e+00,-3.819406549912159221e+00,4.095101186581395325e+00,3.648692117596390894e+00,-4.175493838577845063e-01,1.748734876265266180e+01,1.000000000000000000e+02,9.187627424645147300e+01,9.941459361482627344e+01
1.200000000000000000e+01,7.410000000000000000e+02,3.754264671807913789e+00,1.000000000000000000e+00,9.006199999999999761e+01,7.500000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,2.000000000000000000e+00,-5.575313986313059189e+00,4.225027975855248030e+00,1.804165343767624607e+00,4.677836647222106237e+00,6.702729646661999219e+00,1.000000000000000000e+02,9.660365698358882014e+01,9.290728230924129605e+01
1.300000000000000000e+01,8.400000000000000000e+02,3.124047116393974033e+00,1.000000000000000000e+00,5.415599999999999881e+01,8.000000000000000000e+01,9.500000000000000000e+01,9.000000000000000000e+01,2.000000000000000000e+00,-1.372445520829181476e+00,4.187363178960829657e+00,1.879423010618573642e+00,3.424198186098835528e+00,4.465547360577512848e+01,1.000000000000000000e+02,9.647800850060569644e+01,9.492214645629674408e+01
1.400000000000000000e+01,7.450000000000000000e+02,3.572890166496799580e+00,1.000000000000000000e+00,1.008550000000000040e+02,8.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,2.000000000000000000e+00,2.259205380825299869e-01,4.082231261072745809e+00,2.157432978837976467e+00,-1.052063106203978027e+00,3.376187622740407068e+00,1.000000000000000000e+02,9.597392085219307489e+01,9.850696931399164669e+01
