# Trial, Score, RMS, Safe_landing, time, trust, agree, self-conf, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a
1.000000000000000000e+00,3.070000000000000000e+02,4.260335426087228150e+00,0.000000000000000000e+00,3.210399999999999920e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,7.440762478392088042e+00,1.101020403865247488e+01,3.191397904193903301e+01,2.984496860869157331e+01,3.155064150062837314e+01,2.218182045208887487e+01,3.932991175972971831e+01
2.000000000000000000e+00,5.110000000000000000e+02,4.254571156070463545e+00,0.000000000000000000e+00,2.740500000000000114e+01,-5.000000000000000000e+00,-5.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+00,6.902178502079820532e+00,4.115170626551186928e+00,1.828282728648537514e+01,-5.506282923485661840e+00,2.993143265894304506e+01,8.220426537167085712e+01,7.454805842571854413e-01,9.153130901382195361e+01
3.000000000000000000e+00,7.760000000000000000e+02,3.304890580130334765e+00,0.000000000000000000e+00,1.744999999999999929e+01,5.000000000000000000e+01,5.000000000000000000e+01,3.000000000000000000e+01,2.000000000000000000e+00,-6.826646704251292164e+00,4.237522837765773431e+00,3.411771490228913351e+00,5.754895545752106045e+00,4.417664129804497719e+01,8.220633131322921372e+01,9.271771085992422456e+01,9.111161322774033522e+01
4.000000000000000000e+00,8.840000000000000000e+02,3.327782577517765183e+00,2.000000000000000000e+00,2.755300000000000082e+01,5.500000000000000000e+01,7.000000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+00,3.500993962057506792e+00,4.284531388532347052e+00,5.824177892326819261e+00,-6.598531510376782983e+00,8.461942317539347869e+01,1.000000000000000000e+02,7.921462051115835834e+01,8.966456869742448532e+01
5.000000000000000000e+00,7.750000000000000000e+02,4.000967774433116908e+00,1.000000000000000000e+00,7.785800000000000409e+01,6.000000000000000000e+01,7.500000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00,-2.088523615433690139e+00,4.118854206805586671e+00,1.352588656704556414e+00,-8.645384849954330653e-01,1.398467999401817252e+01,1.000000000000000000e+02,9.727137165114629624e+01,9.877747253459538967e+01
6.000000000000000000e+00,7.920000000000000000e+02,3.965734771567658967e+00,1.000000000000000000e+00,6.466299999999999670e+01,6.000000000000000000e+01,7.500000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+00,-3.453692296666631023e+00,4.146877964006371542e+00,3.259756454793541369e+00,-3.162154984625677123e+00,2.831341099035973130e+01,1.000000000000000000e+02,9.321454089875572890e+01,9.533289570744372554e+01
7.000000000000000000e+00,8.950000000000000000e+02,3.158217934589218956e+00,1.000000000000000000e+00,3.875200000000000244e+01,7.000000000000000000e+01,8.000000000000000000e+01,8.000000000000000000e+01,2.000000000000000000e+00,-1.596754175228788597e+00,4.311308521123315529e+00,1.187900152623696970e+00,6.290708376680155922e+00,7.033776302803242686e+01,1.000000000000000000e+02,9.748162469862469948e+01,9.019661771854198662e+01
8.000000000000000000e+00,9.290000000000000000e+02,3.420379209168250778e+00,1.000000000000000000e+00,2.950100000000000122e+01,8.000000000000000000e+01,8.500000000000000000e+01,8.500000000000000000e+01,2.000000000000000000e+00,-3.118635347868305985e+00,4.144593328288998180e+00,2.250996837423164365e+00,4.340833168925424701e+00,8.252564002726714421e+01,1.000000000000000000e+02,9.578921730738007057e+01,9.345695519851493316e+01
9.000000000000000000e+00,9.250000000000000000e+02,4.203512199742862165e+00,1.000000000000000000e+00,3.635199999999999676e+01,8.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,1.000000000000000000e+00,1.591673041631743502e+00,4.103152854246815195e+00,1.478159033622866936e+00,-6.606706429385734713e-01,7.384074722978816396e+01,1.000000000000000000e+02,9.709968979811414158e+01,9.906939663985451716e+01
1.000000000000000000e+01,9.210000000000000000e+02,3.918040741881836819e+00,1.000000000000000000e+00,3.540699999999999648e+01,8.000000000000000000e+01,9.000000000000000000e+01,9.500000000000000000e+01,1.000000000000000000e+00,-2.947489234888678311e+00,4.123194378029506169e+00,1.499039517313198511e+00,2.611666647294901278e+00,7.515787998507465772e+01,1.000000000000000000e+02,9.707014304787576009e+01,9.618392241517548769e+01
