# Trial, Score, RMS, Safe_landing, time, trust, agree, self-conf, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a
1.000000000000000000e+00,3.320000000000000000e+02,4.452375697495411622e+00,0.000000000000000000e+00,1.485100000000000087e+01,0.000000000000000000e+00,8.000000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,2.301834049707557739e+01,2.705940974722657799e+01,6.611499716713569619e+00,2.696436453756882656e+01,1.626075138430294942e+01,9.328995047008792341e-03,8.964205285659322442e+01
2.000000000000000000e+00,2.880000000000000000e+02,4.799060398793604243e+00,0.000000000000000000e+00,1.530199999999999960e+01,5.000000000000000000e+00,8.500000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,2.800000000000000000e+01,2.405965611229871826e+01,9.573090410344827106e+00,2.176409401809593547e+01,9.122624828796546126e+00,4.179093341842854414e-02,8.429539264163901180e+01
3.000000000000000000e+00,2.970000000000000000e+02,3.335334329431995037e+00,0.000000000000000000e+00,1.500099999999999945e+01,3.500000000000000000e+01,9.000000000000000000e+01,2.500000000000000000e+01,2.000000000000000000e+00,-3.000000000000000000e+01,6.318912800496306659e+00,1.394185883301459938e+01,3.340006398631260964e+01,4.371998505852008066e+01,3.210587791158836524e+01,6.174959710774952093e+00,3.669758326667462001e+01
4.000000000000000000e+00,3.380000000000000000e+02,4.207005877603807953e+00,0.000000000000000000e+00,2.700499999999999901e+01,3.500000000000000000e+01,8.500000000000000000e+01,3.000000000000000000e+01,2.000000000000000000e+00,-3.000000000000000000e+01,1.041317404872776109e+01,2.475149184055922191e+01,1.435662078465465363e+01,3.064491183594288515e+01,2.967519886081389302e+01,2.957365006771572880e-02,7.492655474012686057e+01
5.000000000000000000e+00,2.370000000000000000e+02,4.098602524920743839e+00,0.000000000000000000e+00,3.205100000000000193e+01,3.000000000000000000e+01,8.000000000000000000e+01,2.500000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+01,1.078670375107260426e+01,1.544117661993380786e+01,-3.734666076896600373e+01,3.227096212618884863e+01,2.939962414215628428e+01,3.016076801700606769e+00,3.023965106520370583e+01
6.000000000000000000e+00,2.240000000000000000e+02,4.177617336360790468e+00,0.000000000000000000e+00,2.435200000000000031e+01,3.000000000000000000e+01,8.000000000000000000e+01,2.500000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+01,1.020614390599534360e+01,1.508352325946441574e+01,-4.099660025729627932e+01,3.108573995458814210e+01,2.982420328626753303e+01,3.585489771511929380e+00,2.500053217544225959e+01
7.000000000000000000e+00,3.920000000000000000e+02,3.953622809764429036e+00,0.000000000000000000e+00,2.350499999999999901e+01,3.000000000000000000e+01,8.000000000000000000e+01,2.500000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+01,8.805636700490609314e+00,5.371439403146584191e+00,-5.892792819782676617e+01,3.444565785353356802e+01,3.076083361344230127e+01,8.269666902352665261e+01,8.775465940950292421e+00
8.000000000000000000e+00,8.380000000000000000e+02,2.942162350067944132e+00,2.000000000000000000e+00,1.200099999999999945e+01,4.000000000000000000e+01,9.000000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+00,5.885954504586095481e+00,4.755636886075954806e+00,4.582350472547075171e+00,-2.550226590007186189e+01,9.594911462282699688e+01,1.000000000000000000e+02,8.764057086224030968e+01,5.172031900077794830e+01
9.000000000000000000e+00,3.500000000000000000e+02,4.885475778061355356e+00,0.000000000000000000e+00,2.565200000000000102e+01,2.500000000000000000e+01,8.000000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,1.888956890089130169e+01,1.763353842053799880e+01,-2.081349915685639651e+00,2.046786332907966610e+01,2.149080047621853851e+01,1.028460596504321423e+00,9.698848489880739976e+01
1.000000000000000000e+01,2.890000000000000000e+02,5.216808514307810007e+00,0.000000000000000000e+00,3.505499999999999972e+01,1.500000000000000000e+01,8.500000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,2.514836429384529737e+01,5.767399000527991149e+00,-6.247064372403200849e+01,1.549787228538284722e+01,1.330850289125005759e+01,7.967817860286075415e+01,7.032173967567298511e+00
